Best dense image arrangement report
===================================

mode: OR-Tools CP-SAT fallback, not certified
status: FEASIBLE
input_count: 34
ratio: 16:9
lower_bound_k: 376
heuristic_upper_k: 385
heuristic_method: existing:All_combined_VRI_16_9.proof.txt
final_k: 385
final_canvas: 6160x3465
total_image_area: 20289202
canvas_area: 21344400
density: 0.950563
time_limit_seconds: 300
solver_objective_bound: 376.0
solver_best_objective: 385.0
solver_wall_time_seconds: 300.087441
note: synchronized_layout_from: All_combined_VRI_label_16_9.png

Lower-bound formula
-------------------
k >= max(max_i ceil(w_i / ratio_x), max_i ceil(h_i / ratio_y),
         ceil(sqrt(sum_i(w_i*h_i) / (ratio_x*ratio_y))))

Mathematical proof statement
----------------------------
OR-Tools did not return OPTIMAL, so no mathematical optimality proof is claimed and the output image is a feasible fallback layout rather than a certified best layout.

Placements
----------
index	file	w	h	x	y
0	IC3392_combined_VRI.png	437	438	2626	2691
1	NGC4064_combined_VRI.png	566	665	3108	2799
2	NGC4189_combined_VRI.png	598	319	4913	2526
3	NGC4192_combined_VRI.png	1092	1629	0	2
4	NGC4222_combined_VRI.png	890	748	5235	1174
5	NGC4254_combined_VRI.png	1012	1190	3881	6
6	NGC4293_combined_VRI.png	923	532	3942	1199
7	NGC4294_combined_VRI.png	567	663	4264	2801
8	NGC4298_combined_VRI.png	1042	995	2017	1240
9	NGC4302_combined_VRI.png	322	1420	4913	1059
10	NGC4321_combined_VRI.png	1231	999	4893	0
11	NGC4330_combined_VRI.png	881	760	3065	2039
12	NGC4351_combined_VRI.png	591	323	5	2822
13	NGC4380_combined_VRI.png	967	1044	3946	1757
14	NGC4383_combined_VRI.png	633	705	1993	2323
15	NGC4388_combined_VRI.png	870	323	1232	3140
16	NGC4394_combined_VRI.png	624	647	596	2498
17	NGC4396_combined_VRI.png	883	755	3059	1264
18	NGC4402_combined_VRI.png	1152	318	4	3146
19	NGC4405_combined_VRI.png	522	663	5	2135
20	NGC4419_combined_VRI.png	629	643	5511	2820
21	NGC4424_combined_VRI.png	572	335	2536	3129
22	NGC4450_combined_VRI.png	602	867	527	1631
23	NGC4457_combined_VRI.png	725	725	1236	2415
24	NGC4501_combined_VRI.png	1205	1236	2676	0
25	NGC4522_combined_VRI.png	590	659	3674	2801
26	NGC4535_combined_VRI.png	610	898	5550	1922
27	NGC4567_8_combined_VRI.png	971	1059	1097	4
28	NGC4569_combined_VRI.png	888	1260	1129	1063
29	NGC4580_combined_VRI.png	647	619	4831	2845
30	NGC4606_combined_VRI.png	434	435	2102	3028
31	NGC4607_combined_VRI.png	315	598	5235	1926
32	NGC4694_combined_VRI.png	439	441	2626	2235
33	NGC4698_combined_VRI.png	608	1189	2068	0
